Player,Team,Number,Position,Height,Weight,Last Attended,Country,Image
preciousachiuwa,TOR,5.0,F,6-8,243 lbs,Memphis,Nigeria,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png
stevenadams,MEM,4.0,C,6-11,265 lbs,Pittsburgh,New Zealand,https://cdn.nba.com/headshots/nba/latest/260x190/203500.png
bamadebayo,MIA,13.0,C-F,6-9,255 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628389.png
ochaiagbaji,UTA,30.0,G,6-5,215 lbs,Kansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630534.png
santialdama,MEM,7.0,F-C,7-0,215 lbs,Loyola-Maryland,Spain,https://cdn.nba.com/headshots/nba/latest/260x190/1630583.png
nickeilalexander-walker,MIN,9.0,G,6-5,205 lbs,Virginia Tech,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629638.png
graysonallen,PHX,8.0,G,6-4,198 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628960.png
jarrettallen,CLE,31.0,C,6-9,243 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628386.png
josealvarado,NOP,15.0,G,6-0,179 lbs,Georgia Tech,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630631.png
kyleanderson,MIN,1.0,F-G,6-9,230 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203937.png
giannisantetokounmpo,MIL,34.0,F,6-11,243 lbs,Filathlitikos,Greece,https://cdn.nba.com/headshots/nba/latest/260x190/203507.png
thanasisantetokounmpo,MIL,43.0,F,6-7,219 lbs,Panathinaikos,Greece,https://cdn.nba.com/headshots/nba/latest/260x190/203648.png
coleanthony,ORL,50.0,G,6-2,185 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630175.png
oganunoby,TOR,3.0,F,6-7,240 lbs,Indiana,United Kingdom,https://cdn.nba.com/headshots/nba/latest/260x190/1628384.png
ryanarcidiacono,NYK,51.0,G,6-3,195 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627853.png
deniavdija,WAS,8.0,F,6-9,210 lbs,Maccabi Tel Aviv,Israel,https://cdn.nba.com/headshots/nba/latest/260x190/1630166.png
deandreayton,POR,2.0,C,7-0,247 lbs,Arizona,Bahamas,https://cdn.nba.com/headshots/nba/latest/260x190/1629028.png
udokaazubuike,PHX,27.0,C-F,6-11,270 lbs,Kansas,Nigeria,https://cdn.nba.com/headshots/nba/latest/260x190/1628962.png
marvinbagley iii,DET,35.0,F,6-10,235 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628963.png
amaribailey,CHA,10.0,G,6-3,185 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png
patrickbaldwin jr.,WAS,7.0,F,6-9,220 lbs,Wisconsin-Milwaukee,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631116.png
lameloball,CHA,1.0,G,6-7,180 lbs,,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630163.png
lonzoball,CHI,2.0,G,6-6,190 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628366.png
mobamba,PHI,7.0,C,7-0,231 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628964.png
paolobanchero,ORL,5.0,F,6-10,250 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631094.png
desmondbane,MEM,22.0,G,6-5,215 lbs,TCU,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png
dalanobanton,BOS,45.0,F,6-8,204 lbs,Nebraska,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1630625.png
dominickbarlow,SAS,26.0,F,6-9,215 lbs,,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631230.png
harrisonbarnes,SAC,40.0,F,6-8,225 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203084.png
scottiebarnes,TOR,4.0,F,6-7,237 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630567.png
rjbarrett,NYK,9.0,F-G,6-6,214 lbs,Duke,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629628.png
charlesbassey,SAS,28.0,C-F,6-10,230 lbs,Western Kentucky,Nigeria,https://cdn.nba.com/headshots/nba/latest/260x190/1629646.png
emonibates,CLE,21.0,F,6-8,170 lbs,Eastern Michigan,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641734.png
keitabates-diop,PHX,21.0,F,6-8,229 lbs,Ohio State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628966.png
nicolasbatum,PHI,40.0,G-F,6-8,230 lbs,Le Mans,France,https://cdn.nba.com/headshots/nba/latest/260x190/201587.png
bradleybeal,PHX,3.0,G,6-4,207 lbs,Florida,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203078.png
malikbeasley,MIL,5.0,G,6-4,187 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627736.png
marjonbeauchamp,MIL,3.0,F,6-7,199 lbs,NBA G League Ignite,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630699.png
charlesbediako,SAS,27.0,C,7-0,225 lbs,Alabama,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1641777.png
davisbertans,OKC,9.0,F,6-10,225 lbs,Baskonia,Latvia,https://cdn.nba.com/headshots/nba/latest/260x190/202722.png
patrickbeverley,PHI,22.0,G,6-2,180 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201976.png
saddiqbey,ATL,41.0,G-F,6-7,215 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630180.png
gogabitadze,ORL,35.0,C-F,6-10,250 lbs,Mega Basket,Georgia,https://cdn.nba.com/headshots/nba/latest/260x190/1629048.png
onuralpbitim,CHI,17.0,F,6-6,215 lbs,,Turkey,https://cdn.nba.com/headshots/nba/latest/260x190/1641931.png
bismackbiyombo,MEM,18.0,C,6-8,255 lbs,Baloncesto Fuenlabrada,DRC,https://cdn.nba.com/headshots/nba/latest/260x190/202687.png
anthonyblack,ORL,0.0,G,6-7,200 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png
leakyblack,CHA,12.0,F,6-6,209 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641778.png
bogdanbogdanovic,ATL,13.0,G,6-5,225 lbs,Fenerbahce,Serbia,https://cdn.nba.com/headshots/nba/latest/260x190/203992.png
bojanbogdanovic,DET,44.0,F,6-7,226 lbs,Fenerbahce,Croatia,https://cdn.nba.com/headshots/nba/latest/260x190/202711.png
bolbol,PHX,11.0,C-F,7-3,220 lbs,Oregon,Sudan,https://cdn.nba.com/headshots/nba/latest/260x190/1629626.png
marquesbolden,MIL,12.0,C,6-10,249 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629716.png
devinbooker,PHX,1.0,G,6-6,206 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626164.png
brandonboston jr.,LAC,4.0,G,6-6,188 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630527.png
chrisboucher,TOR,25.0,F-C,6-9,200 lbs,Oregon,Saint Lucia,https://cdn.nba.com/headshots/nba/latest/260x190/1628449.png
jamesbouknight,CHA,2.0,G,6-4,190 lbs,Connecticut,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630547.png
jamareebouyea,POR,21.0,G,6-2,180 lbs,San Francisco,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631123.png
malakibranham,SAS,22.0,F,6-4,180 lbs,Ohio State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631103.png
christianbraun,DEN,0.0,G,6-6,220 lbs,Kansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631128.png
mikalbridges,BKN,1.0,G-F,6-6,209 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628969.png
milesbridges,CHA,0.0,F,6-7,225 lbs,Michigan State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628970.png
oshaebrissett,BOS,12.0,F-G,6-7,210 lbs,Syracuse,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629052.png
malcolmbrogdon,POR,11.0,G,6-4,229 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627763.png
armonibrooks,BKN,13.0,G,6-3,195 lbs,Houston,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png
dillonbrooks,HOU,9.0,G-F,6-6,225 lbs,Oregon,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1628415.png
brucebrown,IND,11.0,G-F,6-4,202 lbs,Miami,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628971.png
jaylenbrown,BOS,7.0,G-F,6-6,223 lbs,California,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627759.png
kendallbrown,IND,10.0,G,6-7,205 lbs,Baylor,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631112.png
kobebrown,LAC,21.0,F,6-7,250 lbs,Missouri,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641738.png
mosesbrown,POR,10.0,C,7-2,258 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629650.png
gregbrown iii,DAL,36.0,F,6-7,206 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630535.png
charliebrown jr.,NYK,16.0,G,6-6,199 lbs,St. Joseph's (PA),USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629718.png
troybrown jr.,MIN,23.0,G-F,6-7,215 lbs,Oregon,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628972.png
jalenbrunson,NYK,11.0,G,6-2,190 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628973.png
thomasbryant,MIA,31.0,C-F,6-10,248 lbs,Indiana,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628418.png
kobebufkin,ATL,4.0,G,6-5,195 lbs,Michigan,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641723.png
reggiebullock jr.,HOU,25.0,G-F,6-6,205 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203493.png
alecburks,DET,14.0,G,6-5,214 lbs,Colorado,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202692.png
jaredbutler,WAS,4.0,G,6-3,193 lbs,Baylor,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630215.png
jimmybutler,MIA,22.0,F,6-7,230 lbs,Marquette,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202710.png
johnbutler jr.,WAS,19.0,F,7-0,190 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631219.png
jamalcain,MIA,8.0,F,6-6,191 lbs,Oakland,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631288.png
kentaviouscaldwell-pope,DEN,5.0,G,6-5,204 lbs,Georgia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203484.png
toumanicamara,POR,33.0,F,6-7,226 lbs,Dayton,Belgium,https://cdn.nba.com/headshots/nba/latest/260x190/1641739.png
vlatkocancar,DEN,31.0,F,6-8,236 lbs,San Pablo Burgos,Slovenia,https://cdn.nba.com/headshots/nba/latest/260x190/1628427.png
clintcapela,ATL,15.0,C,6-10,256 lbs,Elan Chalon,Switzerland,https://cdn.nba.com/headshots/nba/latest/260x190/203991.png
jevoncarter,CHI,5.0,G,6-1,200 lbs,West Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628975.png
wendellcarter jr.,ORL,34.0,C-F,6-10,270 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628976.png
alexcaruso,CHI,6.0,G,6-5,186 lbs,Texas A&M,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png
colincastleton,LAL,14.0,C,6-10,250 lbs,Florida,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630658.png
malcolmcazalon,DET,20.0,G,6-6,185 lbs,Mega Basket,France,https://cdn.nba.com/headshots/nba/latest/260x190/1630608.png
julianchampagnie,SAS,30.0,F,6-7,217 lbs,St. John's,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630577.png
maxchristie,LAL,10.0,G,6-5,190 lbs,Michigan State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631108.png
joshchristopher,UTA,13.0,G,6-4,215 lbs,Arizona State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630528.png
sidycissoko,SAS,25.0,G,6-6,200 lbs,NBA G League Ignite,France,https://cdn.nba.com/headshots/nba/latest/260x190/1631321.png
jaylenclark,MIN,0.0,G,6-4,205 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641740.png
brandonclarke,MEM,15.0,F,6-8,215 lbs,Gonzaga,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629634.png
jordanclarkson,UTA,0.0,G,6-3,194 lbs,Missouri,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203903.png
nicclaxton,BKN,33.0,C,6-11,215 lbs,Georgia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629651.png
noahclowney,BKN,21.0,F,6-9,210 lbs,Alabama,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641730.png
amircoffey,LAC,7.0,G-F,6-7,210 lbs,Minnesota,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png
johncollins,UTA,20.0,F-C,6-9,226 lbs,Wake Forest,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628381.png
zachcollins,SAS,23.0,F-C,6-11,250 lbs,Gonzaga,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628380.png
mikeconley,MIN,10.0,G,6-0,175 lbs,Ohio State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201144.png
patconnaughton,MIL,24.0,G,6-5,209 lbs,Notre Dame,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626192.png
bilalcoulibaly,WAS,0.0,G,6-8,195 lbs,Metropolitans 92,France,https://cdn.nba.com/headshots/nba/latest/260x190/1641731.png
rickycouncil iv,PHI,16.0,G,6-6,207 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641741.png
robertcovington,PHI,33.0,F,6-7,209 lbs,Tennessee State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203496.png
torreycraig,CHI,13.0,F,6-5,221 lbs,South Carolina Upstate,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628470.png
jaecrowder,MIL,99.0,F,6-6,235 lbs,Marquette,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203109.png
cadecunningham,DET,2.0,G,6-6,220 lbs,Oklahoma State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630595.png
sethcurry,DAL,30.0,G,6-1,185 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203552.png
stephencurry,GSW,30.0,G,6-2,185 lbs,Davidson,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201939.png
dysondaniels,NOP,11.0,G,6-7,199 lbs,NBA G League Ignite,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/1630700.png
anthonydavis,LAL,3.0,F-C,6-10,253 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203076.png
johnnydavis,WAS,1.0,G,6-4,195 lbs,Wisconsin,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631098.png
jddavison,BOS,20.0,G,6-1,195 lbs,Alabama,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631120.png
demarderozan,CHI,11.0,G-F,6-6,220 lbs,Southern California,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201942.png
dexterdennis,DAL,38.0,G,6-5,210 lbs,Texas A&M,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641926.png
dontedivincenzo,NYK,0.0,G,6-4,203 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628978.png
moussadiabate,LAC,25.0,F,6-9,210 lbs,Michigan,France,https://cdn.nba.com/headshots/nba/latest/260x190/1631217.png
gradeydick,TOR,1.0,G,6-6,200 lbs,Kansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641711.png
ousmanedieng,OKC,13.0,F,6-9,185 lbs,New Zealand Breakers,France,https://cdn.nba.com/headshots/nba/latest/260x190/1631172.png
spencerdinwiddie,BKN,26.0,G,6-5,215 lbs,Colorado,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203915.png
lukadoncic,DAL,77.0,F-G,6-7,230 lbs,Real Madrid,Slovenia,https://cdn.nba.com/headshots/nba/latest/260x190/1629029.png
luguentzdort,OKC,5.0,G,6-4,220 lbs,Arizona State,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629652.png
ayodosunmu,CHI,12.0,G,6-5,200 lbs,Illinois,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630245.png
andredrummond,CHI,3.0,C,6-11,279 lbs,Connecticut,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203083.png
chrisduarte,SAC,3.0,G,6-5,190 lbs,Oregon,Dominican Republic,https://cdn.nba.com/headshots/nba/latest/260x190/1630537.png
krisdunn,UTA,11.0,G,6-3,205 lbs,Providence,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627739.png
kevindurant,PHX,35.0,F,6-11,240 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201142.png
jalenduren,DET,0.0,C,6-10,250 lbs,Memphis,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631105.png
tarieason,HOU,17.0,F,6-8,215 lbs,Louisiana State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631106.png
anthonyedwards,MIN,5.0,G,6-4,225 lbs,Georgia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png
kessleredwards,SAC,17.0,F,6-7,203 lbs,Pepperdine,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630556.png
keonellis,SAC,23.0,G,6-3,175 lbs,Alabama,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631165.png
joelembiid,PHI,21.0,C-F,7-0,280 lbs,Kansas,Cameroon,https://cdn.nba.com/headshots/nba/latest/260x190/203954.png
dreweubanks,PHX,14.0,F-C,6-10,245 lbs,Oregon State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629234.png
danteexum,DAL,0.0,G,6-5,214 lbs,Australian Institute of Sport,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/203957.png
brunofernando,ATL,24.0,F-C,6-9,240 lbs,Maryland,Angola,https://cdn.nba.com/headshots/nba/latest/260x190/1628981.png
dorianfinney-smith,BKN,28.0,F,6-7,220 lbs,Florida,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627827.png
malachiflynn,TOR,22.0,G,6-1,185 lbs,San Diego State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630201.png
simonefontecchio,UTA,16.0,F,6-7,209 lbs,Baskonia,Italy,https://cdn.nba.com/headshots/nba/latest/260x190/1631323.png
jordanford,SAC,31.0,G,6-1,175 lbs,St. Mary's College,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630259.png
trentforrest,ATL,2.0,G,6-4,210 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630235.png
evanfournier,NYK,13.0,G-F,6-6,205 lbs,Poitiers Basket 86,France,https://cdn.nba.com/headshots/nba/latest/260x190/203095.png
de'aaronfox,SAC,5.0,G,6-3,185 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628368.png
javonfreeman-liberty,TOR,0.0,G,6-3,190 lbs,DePaul,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631241.png
alexfudge,LAL,17.0,F,6-8,200 lbs,Florida,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641788.png
markellefultz,ORL,20.0,G,6-4,209 lbs,Washington,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628365.png
danielgafford,WAS,21.0,F-C,6-10,234 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629655.png
danilogallinari,WAS,88.0,F,6-10,236 lbs,Olimpia Milano,Italy,https://cdn.nba.com/headshots/nba/latest/260x190/201568.png
dariusgarland,CLE,10.0,G,6-1,192 lbs,Vanderbilt,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629636.png
usmangaruba,GSW,12.0,F,6-8,229 lbs,Real Madrid,Spain,https://cdn.nba.com/headshots/nba/latest/260x190/1630586.png
lukagarza,MIN,55.0,C,6-10,243 lbs,Iowa,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630568.png
kaisergates,,,F,6-7,225 lbs,Xavier,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629232.png
keyontegeorge,UTA,3.0,G,6-4,185 lbs,Baylor,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641718.png
paulgeorge,LAC,13.0,F,6-8,220 lbs,Fresno State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202331.png
joshgiddey,OKC,3.0,G,6-8,216 lbs,NBA Global Academy,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/1630581.png
harrygiles iii,BKN,14.0,F-C,6-10,240 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628385.png
shaigilgeous-alexander,OKC,2.0,G,6-6,195 lbs,Kentucky,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1628983.png
anthonygill,WAS,16.0,F,6-8,230 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png
collingillespie,DEN,21.0,G,6-1,195 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631221.png
jacobgilyard,MEM,0.0,G,5-8,160 lbs,Richmond,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631367.png
rudygobert,MIN,27.0,C,7-1,258 lbs,Cholet,France,https://cdn.nba.com/headshots/nba/latest/260x190/203497.png
jordangoodwin,PHX,0.0,G,6-4,200 lbs,St. Louis,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630692.png
aarongordon,DEN,50.0,F,6-8,235 lbs,Arizona,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203932.png
ericgordon,PHX,23.0,G,6-3,215 lbs,Indiana,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201569.png
devonte'graham,SAS,4.0,G,6-1,195 lbs,Kansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628984.png
jeramigrant,POR,9.0,F,6-7,210 lbs,Syracuse,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203924.png
ajgreen,MIL,20.0,G,6-4,190 lbs,Northern Iowa,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png
dannygreen,,,G,6-6,215 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201980.png
draymondgreen,GSW,23.0,F,6-6,230 lbs,Michigan State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203110.png
jalengreen,HOU,4.0,G,6-4,186 lbs,NBA G League Ignite,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630224.png
jeffgreen,HOU,32.0,F,6-8,235 lbs,Georgetown,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201145.png
joshgreen,DAL,8.0,G,6-5,200 lbs,Arizona,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/1630182.png
ajgriffin,ATL,14.0,F,6-6,220 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png
quentingrimes,NYK,6.0,G,6-5,210 lbs,Houston,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629656.png
