Player,Team,Number,Position,Height,Weight,Last Attended,Country,Image
mouhamedgueye,ATL,18.0,F,6-10,210 lbs,Washington State,Senegal,https://cdn.nba.com/headshots/nba/latest/260x190/1631243.png
ruihachimura,LAL,28.0,F,6-8,230 lbs,Gonzaga,Japan,https://cdn.nba.com/headshots/nba/latest/260x190/1629060.png
tyresehaliburton,IND,0.0,G,6-5,185 lbs,Iowa State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630169.png
r.j.hampton,MIA,4.0,G,6-4,175 lbs,New Zealand Breakers,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630181.png
timhardaway jr.,DAL,10.0,G-F,6-5,205 lbs,Michigan,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203501.png
jamesharden,LAC,1.0,G,6-5,220 lbs,Arizona State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201935.png
jadenhardy,DAL,1.0,G,6-3,198 lbs,NBA G League Ignite,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630702.png
ronharper jr.,TOR,8.0,F,6-4,233 lbs,Rutgers,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631199.png
garyharris,ORL,14.0,G,6-4,210 lbs,Michigan State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203914.png
joeharris,DET,31.0,G-F,6-6,220 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203925.png
kevonharris,ORL,8.0,G,6-5,216 lbs,Stephen F. Austin,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630284.png
tobiasharris,PHI,12.0,F,6-8,226 lbs,Tennessee,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202699.png
joshhart,NYK,3.0,G,6-4,215 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628404.png
isaiahhartenstein,NYK,55.0,C-F,7-0,250 lbs,Zalgiris,Germany,https://cdn.nba.com/headshots/nba/latest/260x190/1628392.png
samhauser,BOS,30.0,F,6-7,217 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630573.png
jordanhawkins,NOP,24.0,G,6-5,190 lbs,Connecticut,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641722.png
jaxsonhayes,LAL,11.0,C-F,7-0,220 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629637.png
killianhayes,DET,7.0,G,6-5,195 lbs,Ratiopharm Ulm,France,https://cdn.nba.com/headshots/nba/latest/260x190/1630165.png
gordonhayward,CHA,20.0,F,6-7,225 lbs,Butler,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202330.png
scoothenderson,POR,0.0,G,6-3,202 lbs,NBA G League Ignite,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630703.png
taylorhendricks,UTA,0.0,F,6-9,215 lbs,Central Florida,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641707.png
tylerherro,MIA,14.0,G,6-5,195 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629639.png
buddyhield,IND,7.0,G,6-4,220 lbs,Oklahoma,Bahamas,https://cdn.nba.com/headshots/nba/latest/260x190/1627741.png
haywoodhighsmith,MIA,24.0,F,6-5,220 lbs,Wheeling Jesuit,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629312.png
natehinton,HOU,14.0,G-F,6-5,210 lbs,Houston,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630207.png
d'moihodge,LAL,55.0,G,6-3,188 lbs,Missouri,British Virgin Islands,https://cdn.nba.com/headshots/nba/latest/260x190/1641793.png
aaronholiday,HOU,0.0,G,6-0,185 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png
jrueholiday,BOS,4.0,G,6-4,205 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201950.png
justinholiday,DEN,9.0,F-G,6-6,180 lbs,Washington,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203200.png
richaunholmes,DAL,20.0,F,6-9,235 lbs,Bowling Green,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626158.png
chetholmgren,OKC,7.0,C-F,7-1,195 lbs,Gonzaga,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631096.png
jalenhood-schifino,LAL,0.0,G,6-5,215 lbs,Indiana,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641720.png
alhorford,BOS,42.0,C-F,6-9,240 lbs,Florida,Dominican Republic,https://cdn.nba.com/headshots/nba/latest/260x190/201143.png
talenhorton-tucker,UTA,5.0,G,6-4,234 lbs,Iowa State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629659.png
danuelhouse jr.,PHI,25.0,F-G,6-6,220 lbs,Texas A&M,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627863.png
calebhoustan,ORL,2.0,G,6-8,205 lbs,Michigan,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1631216.png
jetthoward,ORL,13.0,G,6-6,215 lbs,Michigan,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641724.png
kevinhuerter,SAC,9.0,G-F,6-7,198 lbs,Maryland,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628989.png
jayhuff,DEN,30.0,C,7-1,240 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630643.png
de'andrehunter,ATL,12.0,F-G,6-8,221 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629631.png
boneshyland,LAC,5.0,G,6-2,169 lbs,Virginia Commonwealth,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630538.png
joeingles,ORL,7.0,F-G,6-9,220 lbs,Maccabi Tel Aviv,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/204060.png
brandoningram,NOP,14.0,F,6-8,190 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627742.png
kyrieirving,DAL,11.0,G,6-2,195 lbs,Duke,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/202681.png
jonathanisaac,ORL,1.0,F,6-10,230 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628371.png
jadenivey,DET,23.0,G,6-4,195 lbs,Purdue,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631093.png
ggjackson,MEM,45.0,F,6-9,210 lbs,South Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641713.png
isaiahjackson,IND,22.0,F,6-9,205 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630543.png
reggiejackson,DEN,7.0,G,6-2,208 lbs,Boston College,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202704.png
andrejackson jr.,MIL,44.0,G,6-6,209 lbs,Connecticut,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641748.png
jarenjackson jr.,MEM,13.0,F-C,6-10,242 lbs,Michigan State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628991.png
traycejackson-davis,GSW,32.0,F,6-9,245 lbs,Indiana,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631218.png
lebronjames,LAL,23.0,F,6-9,250 lbs,St. Vincent-St. Mary HS (OH),USA,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
jaimejaquez jr.,MIA,11.0,G,6-6,225 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631170.png
daquanjeffries,NYK,8.0,G-F,6-5,222 lbs,Tulsa,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629610.png
tyjerome,CLE,2.0,G-F,6-5,195 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629660.png
isaiahjoe,OKC,11.0,G,6-3,165 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630198.png
cameronjohnson,BKN,2.0,F,6-8,210 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629661.png
jalenjohnson,ATL,1.0,F,6-8,219 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630552.png
keldonjohnson,SAS,3.0,F-G,6-5,220 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629640.png
keonjohnson,BKN,45.0,G,6-5,185 lbs,Tennessee,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630553.png
keyontaejohnson,OKC,18.0,F,6-4,230 lbs,Kansas State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641749.png
nikolajokic,DEN,15.0,C,6-11,284 lbs,Mega Basket,Serbia,https://cdn.nba.com/headshots/nba/latest/260x190/203999.png
colbyjones,SAC,20.0,G,6-6,207 lbs,Xavier,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641732.png
damianjones,CLE,30.0,C,6-10,245 lbs,Vanderbilt,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627745.png
herbertjones,NOP,5.0,F,6-7,206 lbs,Alabama,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630529.png
trejones,SAS,33.0,G,6-1,185 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630200.png
tyusjones,WAS,5.0,G,6-1,196 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626145.png
derrickjones jr.,DAL,55.0,F,6-6,210 lbs,UNLV,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627884.png
deandrejordan,DEN,6.0,C,6-11,265 lbs,Texas A&M,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201599.png
coryjoseph,GSW,1.0,G,6-2,200 lbs,Texas,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/202709.png
nikolajovic,MIA,5.0,F,6-10,205 lbs,,Serbia,https://cdn.nba.com/headshots/nba/latest/260x190/1631107.png
johnnyjuzang,UTA,33.0,G,6-5,209 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630548.png
lukekennard,MEM,10.0,G,6-5,206 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628379.png
walkerkessler,UTA,24.0,C,7-0,245 lbs,Auburn,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631117.png
braxtonkey,DEN,11.0,F,6-8,225 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630296.png
coreykispert,WAS,24.0,F,6-6,224 lbs,Gonzaga,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630557.png
maxikleber,DAL,42.0,F,6-10,240 lbs,Bayern Munich,Germany,https://cdn.nba.com/headshots/nba/latest/260x190/1628467.png
nathanknight,BOS,1.0,F-C,6-8,253 lbs,William & Mary,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630233.png
kevinknox ii,DET,24.0,F,6-7,215 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628995.png
christiankoloko,TOR,35.0,C,7-0,230 lbs,Arizona,Cameroon,https://cdn.nba.com/headshots/nba/latest/260x190/1631132.png
johnkonchar,MEM,46.0,G,6-5,210 lbs,Indiana-Purdue Fort Wayne,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629723.png
furkankorkmaz,PHI,30.0,G-F,6-7,202 lbs,Anadolu Efes,Turkey,https://cdn.nba.com/headshots/nba/latest/260x190/1627788.png
lukekornet,BOS,40.0,C-F,7-1,250 lbs,Vanderbilt,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628436.png
jonathankuminga,GSW,0.0,F,6-7,225 lbs,NBA G League Ignite,DRC,https://cdn.nba.com/headshots/nba/latest/260x190/1630228.png
kylekuzma,WAS,33.0,F,6-9,221 lbs,Utah,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628398.png
jakelaravia,MEM,3.0,F,6-7,235 lbs,Wake Forest,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631222.png
zachlavine,CHI,8.0,G,6-5,200 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203897.png
jocklandale,HOU,2.0,C,6-11,255 lbs,St. Mary's,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/1629111.png
a.j.lawson,DAL,9.0,G,6-6,179 lbs,South Carolina,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png
carislevert,CLE,3.0,G,6-6,205 lbs,Michigan,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627747.png
damionlee,PHX,10.0,G-F,6-6,210 lbs,Drexel,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627814.png
sabenlee,PHX,38.0,G,6-2,183 lbs,Vanderbilt,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630240.png
alexlen,SAC,25.0,C,7-0,250 lbs,Maryland,Ukraine,https://cdn.nba.com/headshots/nba/latest/260x190/203458.png
kawhileonard,LAC,2.0,F,6-7,225 lbs,San Diego State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202695.png
justinlewis,CHI,34.0,F,6-7,245 lbs,Marquette,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631171.png
maxwelllewis,LAL,21.0,F,6-7,195 lbs,Pepperdine,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641721.png
kiralewis jr.,NOP,13.0,G,6-1,170 lbs,Alabama,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630184.png
e.j.liddell,NOP,32.0,F,6-6,240 lbs,Ohio State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630604.png
damianlillard,MIL,0.0,G,6-2,195 lbs,Weber State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203081.png
nassirlittle,PHX,25.0,F-G,6-6,220 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629642.png
derecklively ii,DAL,2.0,C,7-1,230 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641726.png
isaiahlivers,DET,12.0,F,6-6,232 lbs,Michigan,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630587.png
chrislivingston,MIL,7.0,F,6-6,220 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641753.png
kennethlofton jr.,MEM,6.0,F,6-6,275 lbs,Louisiana Tech,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631254.png
kevonlooney,GSW,5.0,F,6-9,222 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626172.png
brooklopez,MIL,11.0,C,7-1,282 lbs,Stanford,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201572.png
robinlopez,MIL,42.0,C,7-1,281 lbs,Stanford,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201577.png
kevinlove,MIA,42.0,F-C,6-8,251 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201567.png
kylelowry,MIA,7.0,G,6-0,196 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/200768.png
sethlundy,ATL,3.0,G-F,6-4,220 lbs,Penn State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641754.png
treylyles,SAC,41.0,F,6-9,234 lbs,Kentucky,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1626168.png
theomaledon,CHA,9.0,G,6-4,175 lbs,Asvel,France,https://cdn.nba.com/headshots/nba/latest/260x190/1630177.png
sandromamukelashvili,SAS,54.0,F-C,6-9,240 lbs,Seton Hall,Georgia,https://cdn.nba.com/headshots/nba/latest/260x190/1630572.png
terancemann,LAC,14.0,G-F,6-5,215 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629611.png
tremann,OKC,23.0,G,6-3,178 lbs,Florida,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630544.png
bobanmarjanovic,HOU,51.0,C,7-4,290 lbs,Crvena zvezda,Serbia,https://cdn.nba.com/headshots/nba/latest/260x190/1626246.png
laurimarkkanen,UTA,23.0,F-C,7-0,240 lbs,Arizona,Finland,https://cdn.nba.com/headshots/nba/latest/260x190/1628374.png
najimarshall,NOP,8.0,F,6-6,220 lbs,Xavier,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630230.png
calebmartin,MIA,16.0,F,6-5,205 lbs,Nevada,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628997.png
codymartin,CHA,11.0,F,6-6,205 lbs,Nevada,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628998.png
kjmartin,PHI,1.0,F,6-6,215 lbs,IMG Academy (FL),USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630231.png
garrisonmathews,ATL,25.0,G,6-6,215 lbs,Lipscomb,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629726.png
bennedictmathurin,IND,0.0,G-F,6-5,210 lbs,Arizona,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1631097.png
wesleymatthews,ATL,32.0,G,6-5,220 lbs,Marquette,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202083.png
tyresemaxey,PHI,0.0,G,6-2,200 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630178.png
skylarmays,POR,5.0,G,6-3,205 lbs,Louisiana State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630219.png
milesmcbride,NYK,2.0,G,6-1,195 lbs,West Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630540.png
cjmccollum,NOP,3.0,G,6-3,190 lbs,Lehigh,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203468.png
t.j.mcconnell,IND,9.0,G,6-1,190 lbs,Arizona,USA,https://cdn.nba.com/headshots/nba/latest/260x190/204456.png
jadenmcdaniels,MIN,3.0,F,6-9,185 lbs,Washington,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630183.png
jalenmcdaniels,TOR,2.0,F-C,6-9,190 lbs,San Diego State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629667.png
dougmcdermott,SAS,17.0,F,6-6,225 lbs,Creighton,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203926.png
javalemcgee,SAC,0.0,C-F,7-0,270 lbs,Nevada,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201580.png
brycemcgowens,CHA,7.0,G,6-6,175 lbs,Nebraska,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631121.png
jordanmclaughlin,MIN,6.0,G,6-0,185 lbs,Southern California,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629162.png
de'anthonymelton,PHI,8.0,G,6-3,200 lbs,Southern California,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629001.png
sammerrill,CLE,5.0,G,6-4,205 lbs,Utah State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630241.png
chimeziemetu,PHX,4.0,F-C,6-10,225 lbs,Southern California,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629002.png
vasilijemicic,OKC,29.0,G,6-3,188 lbs,Serbia,Serbia,https://cdn.nba.com/headshots/nba/latest/260x190/203995.png
khrismiddleton,MIL,22.0,F,6-7,222 lbs,Texas A&M,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203114.png
brandonmiller,CHA,24.0,F,6-7,200 lbs,Alabama,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641706.png
jordanmiller,LAC,11.0,G,6-5,194 lbs,Miami,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641757.png
leonardmiller,MIN,33.0,F,6-10,210 lbs,NBA G League Ignite,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1631159.png
pattymills,ATL,8.0,G,6-2,180 lbs,St. Mary's,Australia,https://cdn.nba.com/headshots/nba/latest/260x190/201988.png
shakemilton,MIN,18.0,G-F,6-5,205 lbs,Southern Methodist,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629003.png
justinminaya,POR,24.0,F,6-5,205 lbs,Providence,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631303.png
joshminott,MIN,8.0,F,6-8,205 lbs,Memphis,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631169.png
davionmitchell,SAC,15.0,G,6-0,202 lbs,Baylor,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630558.png
donovanmitchell,CLE,45.0,G,6-3,215 lbs,Louisville,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628378.png
evanmobley,CLE,4.0,C,6-11,215 lbs,Southern California,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630596.png
isaiahmobley,CLE,15.0,F,6-8,238 lbs,Southern California,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630600.png
malikmonk,SAC,0.0,G,6-3,200 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628370.png
mosesmoody,GSW,4.0,G,6-5,211 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630541.png
wendellmoore jr.,MIN,7.0,G,6-5,215 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631111.png
jamorant,MEM,12.0,G,6-2,174 lbs,Murray State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629630.png
markieffmorris,DAL,88.0,F,6-9,245 lbs,Kansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202693.png
montemorris,DET,5.0,G,6-2,183 lbs,Iowa State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628420.png
marcusmorris sr.,PHI,5.0,F,6-8,218 lbs,Kansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/202694.png
treymurphy iii,NOP,25.0,F,6-8,206 lbs,Virginia,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630530.png
dejountemurray,ATL,5.0,G,6-5,180 lbs,Washington,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627749.png
jamalmurray,DEN,27.0,G,6-4,215 lbs,Kentucky,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1627750.png
keeganmurray,SAC,13.0,F,6-8,225 lbs,Iowa,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631099.png
krismurray,POR,8.0,F,6-8,210 lbs,Iowa,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631200.png
mikemuscala,WAS,35.0,F-C,6-10,240 lbs,Bucknell,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203488.png
svimykhailiuk,BOS,50.0,G-F,6-7,205 lbs,Kansas,Ukraine,https://cdn.nba.com/headshots/nba/latest/260x190/1629004.png
larrynance jr.,NOP,22.0,F-C,6-8,245 lbs,Wyoming,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626204.png
andrewnembhard,IND,2.0,G-F,6-4,191 lbs,Gonzaga,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png
aaronnesmith,IND,23.0,G-F,6-6,215 lbs,Vanderbilt,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png
georgesniang,CLE,20.0,F,6-7,230 lbs,Iowa State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627777.png
daishennix,MIN,12.0,G,6-3,226 lbs,NBA G League Ignite,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630227.png
zekennaji,DEN,22.0,F-C,6-9,240 lbs,Arizona,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630192.png
milesnorris,ATL,0.0,F,6-7,220 lbs,California-Santa Barbara,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641936.png
markquisnowell,TOR,24.0,G,5-7,160 lbs,Kansas State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641806.png
frankntilikina,CHA,44.0,G,6-4,200 lbs,Strasbourg IG,France,https://cdn.nba.com/headshots/nba/latest/260x190/1628373.png
jusufnurkic,PHX,20.0,C,7-0,290 lbs,Cedevita,Bosnia and Herzegovina,https://cdn.nba.com/headshots/nba/latest/260x190/203994.png
jordannwora,IND,13.0,F,6-8,225 lbs,Louisville,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1629670.png
royceo'neale,BKN,0.0,F,6-6,226 lbs,Baylor,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1626220.png
